taxon_concept_id,rank,ancestors_taxon_concepts_ids,preferred_scientific_names,preferred_common_names,hierarchy_entry_id,resource_name,content_provider_name,identifier
26,"","21,7,23,25","","en:Maximees veritatisatus P. Leary,en:chartruse turtle",,,,
"","","","","",30,3i database: Typhlocybinae,,""
27,"","21,7,23,25","","en:Molestiaeus rationealia Padderson,en:horny toad",,,,
"","","","","",31,3i database: Typhlocybinae,,""
28,"","21,7,23,25,27","","en:Fugitens dolorealius Linnaeus,en:scarlet vermillion",,,,
"","","","","",32,3i database: Typhlocybinae,,""
29,"","21,7,23,25,27","","en:Quisquamator sequieles L.,en:Mozart's nemesis",,,,
"","","","","",33,3i database: Typhlocybinae,,""
30,superkingdom,"","","en:Bacteria M. Mayer,en:bacteria,en:bakteria,en:baseteir",,,,
"","","","","",34,3i database: Typhlocybinae,,""
31,"",30,"","en:Essees eaqueata L.,en:quick brown fox",,,,
"","","","","",35,3i database: Typhlocybinae,,""
32,"","30,31","","en:Animiens atdoloribuseron Linn.,en:painted horse",,,,
"","","","","",36,3i database: Typhlocybinae,,""
33,"","30,31,32","","en:Adaliasii iurea Linnaeus,en:thirsty aphid",,,,
"","","","","",37,3i database: Typhlocybinae,,""
34,"","30,31,32,33","","en:Nonnumquamerus numquamerus G. D'Amore,en:bloody eel",,,,
"","","","","",38,3i database: Typhlocybinae,,""
35,species,"",Anergates  atratulus,"",,,,
"","","","","",39,Antkey,,572fecb1-084b-4ce0-9f78-f511d40c212e
36,species,"",Anochetus  mayri,"",,,,
"","","","","",40,Antkey,,25cf6a84-dd41-455a-9c48-eb123c82cdb9
37,species,"",Anoplolepis  custodiens,"",,,,
"","","","","",41,Antkey,,780677f1-e9c5-410b-9c64-dc166d9c137c
38,species,"",Anoplolepis  gracilipes,en:Yellow Crazy Ant,,,,
"","","","","",42,Antkey,,5fbb25e8-fae9-4eb2-a288-b4100bdfd8e0
39,species,"",Atta  cephalotes,en:Leaf Cutting Ant,,,,
"","","","","",43,Antkey,,c3365907-f1aa-4bfb-b0a6-24bb7077b0cc
40,species,"",Atta  sexdens,en:Leaf Cutting Ant,,,,
"","","","","",44,Antkey,,fc775804-927c-4684-a544-9733a073b9ef
41,species,"",Brachymremx  patagonicus,"",,,,
"","","","","",45,Antkey,,25be8629-2aa9-492b-a96f-8fbe309af221
42,species,"",Brachymyrmex  heeri,"",,,,
"","","","","",46,Antkey,,4a68cb7c-8302-4657-9861-efddd07a2dac
43,species,"",Brachymyrmex  minutus,"",,,,
"","","","","",47,Antkey,,2eb3bc51-1c4c-4b60-b1a1-3a2aabb44277
44,species,"",Brachymyrmex  obscurior,"",,,,
"","","","","",48,Antkey,,23c18024-875e-4c36-be12-d0651633b3c3
45,species,"",Camponotus  atriceps,"",,,,
"","","","","",49,Antkey,,8a34739f-64fd-41d3-a9cd-7eccbd7a2e79
46,species,"",Camponotus  novogranadensis,"",,,,
"","","","","",50,Antkey,,07e8ef11-0cb6-4574-b643-a248f1600ddd
47,species,"",Camponotus  planatus,"",,,,
"","","","","",51,Antkey,,403278a0-e47f-41e6-be53-2662ae53eb8e
48,species,"",Camponotus  rectangularis,"",,,,
"","","","","",52,Antkey,,f6690f5a-d306-4af4-8ec7-dae0c7b277d2
49,species,"",Camponotus  sexguttatus,"",,,,
"","","","","",53,Antkey,,1ab54254-4630-4df3-ab23-20c7a51eee5a
50,species,"",Camponotus  variegatus,"",,,,
"","","","","",54,Antkey,,90910640-c971-4d91-86ec-c62419930fc8
51,species,"",Cardiocondyla  emeryi,"",,,,
"","","","","",55,Antkey,,23162c3b-145e-4f3f-9d37-b651564d1e71
52,species,"",Cardiocondyla  kagutsuchi,"",,,,
"","","","","",56,Antkey,,2d255604-6623-4b65-914f-2e2870315ee9
53,species,"",Cardiocondyla  mauritanica,"",,,,
"","","","","",57,Antkey,,7710cb81-e7b8-4677-a30a-f3cfaf7dcd7c
54,species,"",Cardiocondyla  minutior,"",,,,
"","","","","",58,Antkey,,c1ece298-1141-4193-a8f5-b5bc157a4f3e
55,species,"",Cardiocondyla  obscurior,"",,,,
"","","","","",59,Antkey,,cb7be415-8036-431a-828a-4a0b472a04c3
56,species,"",Cardiocondyla  venustula,"",,,,
"","","","","",60,Antkey,,c0d1d51e-df4b-4217-9d44-7816f37aaf11
57,species,"",Cardiocondyla  wroughtonii,"",,,,
"","","","","",61,Antkey,,94839fa1-f412-4128-8be7-41850acb5fbe
58,species,"",Cephaltoes  varians,"",,,,
"","","","","",62,Antkey,,8fe136f0-14ed-4132-b6cc-21c3f451a65c
59,species,"",Cerapachys  biroi,"",,,,
"","","","","",63,Antkey,,712067f2-96f1-4855-9b2b-836d6c48a2d0
60,species,"",Crematogaster  obscurata,"",,,,
"","","","","",64,Antkey,,d254ed7c-05ad-43f8-b863-8e119aed6a36
61,species,"",Crematogaster  scutellaris,"",,,,
"","","","","",65,Antkey,,c55ca43a-d20d-463e-8155-d3b19a233768
62,species,"",Cyphomyrmex  rimosus,"",,,,
"","","","","",66,Antkey,,06c0a434-1c03-4060-85b5-c38a57c9aa88
63,species,"",Dolichoderus  thoracicus,"",,,,
"","","","","",67,Antkey,,c0b27785-bcff-470e-a696-749a547d4e3d
64,species,"",Eurhopalothrix  floridana,"",,,,
"","","","","",68,Antkey,,9735c216-f12b-4513-8dea-f1c1e7695cb5
65,species,"",Gnamptogenys  porcata,"",,,,
"","","","","",69,Antkey,,bf19e90b-ed55-44b6-ba4e-20ef059ca8e2
66,species,"",Gnamptogenys  triangularis,"",,,,
"","","","","",70,Antkey,,427ea74c-f5d4-45e6-a2ab-27c8a0b2fb3e
67,species,"",Hypoponera  opaciceps,"",,,,
"","","","","",71,Antkey,,b21ddd8e-88fa-4f42-b4b6-d6a2001b0bb3
68,species,"",Hypoponera  punctatissima,"",,,,
"","","","","",72,Antkey,,703a1556-013f-4f29-b1c5-972de63e26b7
69,species,68,Hypoponera  schauinslandi,"",,,,
"","","","","",73,Antkey,,a485783e-0d82-4095-83eb-b5c075f4a2ae
70,species,"",Hypoponera  ragusai,"",,,,
"","","","","",74,Antkey,,c1955ab7-c80d-4b50-92bf-e121c2e726b9
71,species,"",Hypoponera  zwaluwenburgi,"",,,,
"","","","","",75,Antkey,,8cdbbdd0-7c07-4822-99b0-5769ee8c80b3
72,species,"",Iridomyrmex  anceps,"",,,,
"","","","","",76,Antkey,,57bd72b0-0966-466f-a8ce-3805567ea2bc
73,species,"",Lasius  alienus,en:Cornfield Ant,,,,
"","","","","",77,Antkey,,5bcc3549-04fc-48c0-a388-5b4fdc48de43
74,species,"",Lasius  neglectus,"",,,,
"","","","","",78,Antkey,,8db4ccd9-7876-4152-acad-c3f895ededf4
75,species,"",Leptogenys  falcigera,"",,,,
"","","","","",79,Antkey,,2f77e3e8-fb06-4bbe-898d-6b894a816e63
76,species,"",Linepithema  humile,en:Argentine Ant,,,,
"","","","","",80,Antkey,,2c748505-17b8-41b5-9aa7-eec458d5ca2b
77,species,"",Linepithema  iniquum,"",,,,
"","","","","",81,Antkey,,ff993b87-519f-4931-95b0-40bce49fd945
78,species,"",Monomorium  salomonis,"",,,,
"","","","","",82,Antkey,,99de0cb5-afea-4467-8e1c-1355e7cb6435
79,species,"",Monomorium ebenium,"",,,,
"","","","","",83,Antkey,,1640b7a6-e79f-4af8-951c-5296daa05c65
80,species,"",Monomorium liliuokalanii,"",,,,
"","","","","",84,Antkey,,3901b9ba-c080-439f-a5fd-5d128fa18e3d
81,species,"",Monomorium pharaonis,en:Pharaoh Ant,,,,
"","","","","",85,Antkey,,92cbb691-5c24-4cd7-a682-8c92a2ddcd04
82,species,"",Monomorium subopacum,"",,,,
"","","","","",86,Antkey,,4623f63f-6a5d-44cc-8532-32ae968f1086
83,species,"",Myrmelachista  ramulorum,"",,,,
"","","","","",87,Antkey,,613d73da-8ec6-40f3-aaa7-63b30ddd80b4
84,species,"",Myrmica  specioides,"",,,,
"","","","","",88,Antkey,,e60e040c-8301-4683-ab36-ec42554a79cd
85,species,"",Myrmica rubra,en:European Fire Ant,,,,
"","","","","",89,Antkey,,cffe5d13-d60b-43aa-8f9d-32247384d616
86,species,"",Nylanderia  bourbonica,"",,,,
"","","","","",90,Antkey,,6b9580ac-6bd8-4d28-80bc-4d9cc3621df4
87,species,"",Nylanderia  fulva,en:Rasberry crazy ant,,,,
"","","","","",91,Antkey,,07bc1bd3-7020-4317-b3b8-d4270fe1e92e
88,species,"",Nylanderia  guatemalensis,"",,,,
"","","","","",92,Antkey,,2063cfc1-0c52-4c43-8436-cf62e88a70c8
89,species,"",Nylanderia  pubens,"",,,,
"","","","","",93,Antkey,,94487410-a376-485f-b67d-e98b0ea1fa5d
90,species,"",Nylanderia  steinheili,"",,,,
"","","","","",94,Antkey,,e009879b-dbfb-4f39-a91e-9df92ea32a1b
91,species,"",Nylanderia  vaga,"",,,,
"","","","","",95,Antkey,,2a0bf98e-869b-4793-940d-86ebb195b9fc
92,species,"",Nylanderia  vividula,"",,,,
"","","","","",96,Antkey,,dd48f0c0-de6a-48ed-b3e0-dc3451eef59c
93,species,"",Nylanderia  ﬂavipes,"",,,,
"","","","","",97,Antkey,,698062f2-438e-4570-b6c4-93d6293671a5
94,species,"",Ochetellus  glaber,"",,,,
"","","","","",98,Antkey,,777da1f0-a810-4cb2-91fe-9b33ddb254ca
95,species,"",Odontomachus  ruginodis,"",,,,
"","","","","",99,Antkey,,674f205e-c3da-4a8e-a583-692f1dcb876a
96,species,"",Odontomachus  simillimus,"",,,,
"","","","","",100,Antkey,,31ab05ed-e797-4f79-ba2a-26b2d143c912
97,species,"",Oecophylla  smaragdina,"",,,,
"","","","","",101,Antkey,,08c813d8-6d5c-40a5-bdee-2ce51f8db5c4
98,species,"",Pachycondyla  chinensis,en:Asian Needle Ant,,,,
"","","","","",102,Antkey,,d86f27ea-f00a-49ce-9080-186332e3764e
99,species,"",Pachycondyla  sennaarensis,"",,,,
"","","","","",103,Antkey,,691332cd-d7c1-4fd1-b3c4-9279b56d8df8
100,species,"",Pachycondyla  stigma,"",,,,
"","","","","",104,Antkey,,0cdee32d-1517-4d17-a0e5-459a5ea3fd4f
101,species,"",Paratrechina  jaegerskioeldi,"",,,,
"","","","","",105,Antkey,,dbcce03c-5d7f-4664-9511-af292b628953
102,species,"",Paratrechina  longicornis,en:Longhorn Ant,,,,
"","","","","",106,Antkey,,0a58fadd-8b22-4302-a903-e9d4f46a9a31
103,species,"",Pheidole  anastasii,"",,,,
"","","","","",107,Antkey,,c8ee671e-d33e-4419-9bd0-ae04dc09a87e
104,species,"",Pheidole  bilimeki,"",,,,
"","","","","",108,Antkey,,79c2a7e3-c4f1-4e53-8783-8bf62468321a
105,species,"",Pheidole  fervens,"",,,,
"","","","","",109,Antkey,,6c8556c2-bc3a-4d53-b3b7-264932cd3fae
106,species,"",Pheidole  flavens,"",,,,
"","","","","",110,Antkey,,454e10d4-b74c-4bf1-9331-22b40aa3669f
107,species,"",Pheidole  megacephala,en:Big Headed Ant,,,,
"","","","","",111,Antkey,,1068c3da-de9f-44cb-bb50-114072181021
108,species,"",Pheidole  moerens,"",,,,
"","","","","",112,Antkey,,fa67871a-0607-4235-b37e-a41831a0cedb
109,species,"",Pheidole  obscurithorax,"",,,,
"","","","","",113,Antkey,,ee87d564-31c6-4071-947e-deacef3479b0
110,species,"",Pheidole  parva,"",,,,
"","","","","",114,Antkey,,e90cf538-c4de-4d99-8f2e-07f4dbff6a79
111,species,"",Pheidole  punctatissima,"",,,,
"","","","","",115,Antkey,,0a7b4220-44a2-47b0-86bb-0e3474d7753c
112,species,"",Pheidole  teneriffana,"",,,,
"","","","","",116,Antkey,,e9a838a4-4d8c-43b9-90ae-e4d0b21834a2
113,species,"",Plagiolepis  alluaudi,"",,,,
"","","","","",117,Antkey,,a1b00fbd-412f-4157-9587-de3a65ff5f3e
114,species,"",Plagiolepis  exigua,"",,,,
"","","","","",118,Antkey,,b8c77ac4-3a8c-4876-8825-dd980a8fff18
115,species,"",Plagiolepis  pygmaea,"",,,,
"","","","","",119,Antkey,,f031f16c-0710-4d3c-a528-4cdff0b7bbdb
116,species,"",Ponera  swezeyi,"",,,,
"","","","","",120,Antkey,,9165df8c-2d84-4efd-96da-26ddb34dd03f
117,species,"",Prionopelta  antillana,"",,,,
"","","","","",121,Antkey,,93f35e1b-5897-429c-9ef8-8bd12f8c8297
118,species,"",Pristomyrmex  punctatus,"",,,,
"","","","","",122,Antkey,,66ad0387-fcfe-45b3-bbfd-8f10680eac25
119,species,"",Pseudomyrmex  elongatus,"",,,,
"","","","","",123,Antkey,,30f6007a-6b36-47ec-afb0-0627a8afdda8
120,species,"",Pseudomyrmex  gracilis,"",,,,
"","","","","",124,Antkey,,7a156f3f-ca1f-415d-91a0-63173ce2493b
121,species,"",Solenopsis  geminata,en:Tropical Fire Ant,,,,
"","","","","",125,Antkey,,7cd6a22f-d269-422f-ae96-6816d23aebb4
122,species,"",Solenopsis  invicta,en:RIFA,,,,
"","","","","",126,Antkey,,7b5f63d5-c7d9-44c4-ba90-2aec9208e398
123,species,"",Solenopsis  papuana,"",,,,
"","","","","",127,Antkey,,d910a831-c427-4728-9006-2a63a109d38d
124,species,"",Solenopsis  richteri,"",,,,
"","","","","",128,Antkey,,c5e29850-e2db-4783-8539-084f1d92e8bd
125,species,"",Solenopsis  xyloni,"",,,,
"","","","","",129,Antkey,,19ff07f9-a985-452a-be9d-da93ba3c4aa8
126,species,"",Stigmatomma  zwaluwenburgi,"",,,,
"","","","","",130,Antkey,,536e02b3-070a-48d5-908c-0a4167852867
127,species,"",Strumigenys  eggersi,"",,,,
"","","","","",131,Antkey,,3e6cffef-1a6a-4e84-81d7-d77f60618d67
128,species,"",Strumigenys  emmae,"",,,,
"","","","","",132,Antkey,,e35e6ed0-bb7d-4f10-82db-a82cb901e661
129,species,"",Strumigenys  epinotalis,"",,,,
"","","","","",133,Antkey,,738862f7-e45d-408c-9039-2e96f86d82af
130,species,"",Strumigenys  godeffroyi,"",,,,
"","","","","",134,Antkey,,bbf19c8c-2380-4733-95ab-f70adb93cc62
131,species,"",Strumigenys  gundlachi,"",,,,
"","","","","",135,Antkey,,3f0882de-33f5-4d3e-a43c-eb1662689046
132,species,"",Strumigenys  hexamera,"",,,,
"","","","","",136,Antkey,,b3e14fe4-010d-4c3f-83db-b7aa86e3e33f
133,species,"",Strumigenys  lanuginosa,"",,,,
"","","","","",137,Antkey,,720db7a5-2b64-4a28-9f04-124179c8a937
134,species,"",Strumigenys  lewisi,"",,,,
"","","","","",138,Antkey,,a19bd74a-7106-4096-91c8-98f5199c51d8
135,species,"",Strumigenys  margaritae,"",,,,
"","","","","",139,Antkey,,26ec9d8a-c3d4-4563-9f74-324ae4207f06
136,species,"",Strumigenys  membranifera,"",,,,
"","","","","",140,Antkey,,1ade028a-dd9a-431a-bec0-7729e2e368a0
137,species,"",Strumigenys  rogeri,"",,,,
"","","","","",141,Antkey,,60b6ac53-e9f4-4f53-977a-11c9ce2f3960
138,species,"",Strumigenys  silvestrii,"",,,,
"","","","","",142,Antkey,,df0e9fd5-fe08-41d2-bfba-31ce7b0e454e
139,species,"",Tapinoma  melanocephalum,en:Ghost Ant,,,,
"","","","","",143,Antkey,,6c3e4382-21b5-448e-8690-e0e234684c15
140,species,"",Tapinoma  sessile,en:Odorous House Ant,,,,
"","","","","",144,Antkey,,997e0070-c8af-48b2-8f62-90f5118b6d8c
141,species,"",Tapinoma  simrothi,"",,,,
"","","","","",145,Antkey,,e612661c-3936-47a4-b66b-02400f589561
142,species,"",Technomyrmex  albipes,en:White Footed Ant,,,,
"","","","","",146,Antkey,,177d6b36-5cc1-4bc5-8d8c-053456f99b6c
143,species,"",Technomyrmex  difficilis,"",,,,
"","","","","",147,Antkey,,303510c3-6dfa-49bd-8fb0-6abf42c1851f
144,species,"",Technomyrmex  pallipes,"",,,,
"","","","","",148,Antkey,,f5b86e93-5e43-49f5-b871-453aab482791
145,species,"",Technomyrmex  vitiensis,"",,,,
"","","","","",149,Antkey,,c4d8a276-b5cc-474c-9044-98edd3d4c861
146,species,"",Tetramorium  bicarinatum,"",,,,
"","","","","",150,Antkey,,9893acba-5416-430b-82b8-eb58d2ce7d6f
147,species,"",Tetramorium  caldarium,"",,,,
"","","","","",151,Antkey,,33dd81f7-43dd-4c0d-8754-ceaf85176a40
148,species,"",Tetramorium  insolens,"",,,,
"","","","","",152,Antkey,,d4868923-0cd3-4e75-a6f5-ba69933e9f2c
149,species,"",Tetramorium  lanuginosum,"",,,,
"","","","","",153,Antkey,,d3f413ec-e4f2-472f-a7c3-9c5cb5fe7027
150,species,"",Tetramorium  pacificum,"",,,,
"","","","","",154,Antkey,,6c0a18b4-d6b7-4629-b9ad-7c7fb849514a
151,species,"",Tetramorium  simillimum,"",,,,
"","","","","",155,Antkey,,3c8ab305-af11-4441-a120-fb4a8cf20f3a
152,species,"",Tetramorium  tonganum,"",,,,
"","","","","",156,Antkey,,b6042ded-fbc6-4167-bdc7-a0ef0c6e9fe4
153,species,"",Tetramorium  tsushimae,en:Pavement Ant,,,,
"","","","","",157,Antkey,,9ccf817a-934e-493f-8166-09a0d311b6c7
154,species,"",Trichomyrmex destructor,en:Singapore Ant,,,,
"","","","","",158,Antkey,,a896fb61-753d-4113-bf4f-456b94cb4a9d
155,species,"",Vollenhovia  emeryi,"",,,,
"","","","","",159,Antkey,,57c1ec81-71c4-404e-b5ba-a68ffba29892
156,species,"",Wasmannia  auropunctata,en:Little Fire Ant,,,,
"","","","","",160,Antkey,,6f5a3013-2e7b-4295-9357-c4e80ab3715f
157,"","",__Problem Taxa,"",,,,
"","","","","",161,Antkey,,d66878d3-6f56-442f-b884-fb5d7f8143d6
158,species,157,Brachymyrmex JAM-001,"",,,,
"","","","","",162,Antkey,,09daaf7f-ae06-4216-91e1-718c1d160476
159,species,157,Ectatomma spp.,"",,,,
"","","","","",163,Antkey,,d5dd9ed4-48f9-40ab-8599-347d11fd12df
160,species,157,Lepisiota HI01,"",,,,
"","","","","",164,Antkey,,9ba29d17-1107-4d42-99c1-efdd3ed8e4cd
161,species,157,"",en:common4,,,,
"","","","","",165,Antkey,,fe249053-c935-432e-90fc-68ce5a3e63a0
162,kingdom,"","","",,,,
"","","","","",166,,,""
163,genus,162,"","",,,,
"","","","","",167,,,""
164,species,"162,163",Aa matthewsii (Rchb. f.) Schltr.,"",,,,
"","","","","",168,NMNH Botany Elevation Data (Summarized),,Aa_matthewsii_(Rchb._f.)_Schltr.
165,genus,162,"","",,,,
"","","","","",169,,,""
166,species,"162,165",Abelmoschus angulosus Wall. ex Wight & Arn.,"",,,,
"","","","","",170,NMNH Botany Elevation Data (Summarized),,Abelmoschus_angulosus_Wall._ex_Wight_&_Arn.
167,species,"162,165",Abelmoschus moschatus Medik.,"",,,,
"","","","","",171,NMNH Botany Elevation Data (Summarized),,Abelmoschus_moschatus_Medik.
168,genus,162,"","",,,,
"","","","","",172,,,""
169,species,"162,168",Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,"",,,,
"","","","","",173,NMNH Botany Elevation Data (Summarized),,Abies_concolor_(Gordon_&_Glend.)_Lindl._ex_Hildebr.
170,species,"162,168",Abies religiosa (Kunth) Schltdl. & Cham.,"",,,,
"","","","","",174,NMNH Botany Elevation Data (Summarized),,Abies_religiosa_(Kunth)_Schltdl._&_Cham.
171,genus,162,"","",,,,
"","","","","",175,,,""
172,species,"162,171",Abildgaardia ovata (Burm. f.) Kral,"",,,,
"","","","","",176,NMNH Botany Elevation Data (Summarized),,Abildgaardia_ovata_(Burm._f.)_Kral
173,genus,162,"","",,,,
"","","","","",177,,,""
174,species,"162,173",Abroma augusta (L.) L. f.,"",,,,
"","","","","",178,NMNH Botany Elevation Data (Summarized),,Abroma_augusta_(L.)_L._f.
175,genus,162,"","",,,,
"","","","","",179,,,""
176,species,"162,175",Abrus precatorius L.,"",,,,
"","","","","",180,NMNH Botany Elevation Data (Summarized),,Abrus_precatorius_L.
177,genus,162,"","",,,,
"","","","","",181,,,""
178,species,"162,177",Abutilon abutiloides (Jacq.) Garcke ex Hochr.,"",,,,
"","","","","",182,NMNH Botany Elevation Data (Summarized),,Abutilon_abutiloides_(Jacq.)_Garcke_ex_Hochr.
179,species,"162,177",Abutilon andrieuxii Hemsl.,"",,,,
"","","","","",183,NMNH Botany Elevation Data (Summarized),,Abutilon_andrieuxii_Hemsl.
180,species,"162,177",Abutilon divaricatum Turcz.,"",,,,
"","","","","",184,NMNH Botany Elevation Data (Summarized),,Abutilon_divaricatum_Turcz.
181,species,"162,177",Abutilon fruticosum Guill. & Perr.,"",,,,
"","","","","",185,NMNH Botany Elevation Data (Summarized),,Abutilon_fruticosum_Guill._&_Perr.
182,species,"162,177",Abutilon giganteum (Jacq.) Sweet,"",,,,
"","","","","",186,NMNH Botany Elevation Data (Summarized),,Abutilon_giganteum_(Jacq.)_Sweet
183,species,"162,177",Abutilon grandifolium (Willd.) Sweet,"",,,,
"","","","","",187,NMNH Botany Elevation Data (Summarized),,Abutilon_grandifolium_(Willd.)_Sweet
184,species,"162,177",Abutilon hirtum (Lam.) Sweet,"",,,,
"","","","","",188,NMNH Botany Elevation Data (Summarized),,Abutilon_hirtum_(Lam.)_Sweet
185,species,"162,177",Abutilon ibarrense Kunth,"",,,,
"","","","","",189,NMNH Botany Elevation Data (Summarized),,Abutilon_ibarrense_Kunth
186,species,"162,177",Abutilon incanum (Link) Sweet,"",,,,
"","","","","",190,NMNH Botany Elevation Data (Summarized),,Abutilon_incanum_(Link)_Sweet
187,species,"162,177",Abutilon indicum (L.) Sweet,"",,,,
"","","","","",191,NMNH Botany Elevation Data (Summarized),,Abutilon_indicum_(L.)_Sweet
188,species,"162,177",Abutilon reflexum (Lam.) Sweet,"",,,,
"","","","","",192,NMNH Botany Elevation Data (Summarized),,Abutilon_reflexum_(Lam.)_Sweet
189,species,"162,177",Abutilon sachetianum Fosberg,"",,,,
"","","","","",193,NMNH Botany Elevation Data (Summarized),,Abutilon_sachetianum_Fosberg
190,species,"162,177",Abutilon striatum Dicks.,"",,,,
"","","","","",194,NMNH Botany Elevation Data (Summarized),,Abutilon_striatum_Dicks.
191,species,"162,177",Abutilon trisulcatum (Jacq.) Urb.,"",,,,
"","","","","",195,NMNH Botany Elevation Data (Summarized),,Abutilon_trisulcatum_(Jacq.)_Urb.
192,genus,162,"","",,,,
"","","","","",196,,,""
193,species,"162,192",Acacia angustissima (Mill.) Kuntze,"",,,,
"","","","","",197,NMNH Botany Elevation Data (Summarized),,Acacia_angustissima_(Mill.)_Kuntze
194,species,"162,192",Acacia confusa Merr.,"",,,,
"","","","","",198,NMNH Botany Elevation Data (Summarized),,Acacia_confusa_Merr.
195,species,"162,192",Acacia farnesiana (L.) Willd.,"",,,,
"","","","","",199,NMNH Botany Elevation Data (Summarized),,Acacia_farnesiana_(L.)_Willd.
196,species,"162,192",Acacia koa A. Gray,"",,,,
"","","","","",200,NMNH Botany Elevation Data (Summarized),,Acacia_koa_A._Gray
197,species,"162,192",Acacia macracantha Humb. & Bonpl. ex Willd.,"",,,,
"","","","","",201,NMNH Botany Elevation Data (Summarized),,Acacia_macracantha_Humb._&_Bonpl._ex_Willd.
198,species,"162,192",Acacia muricata (L.) Willd.,"",,,,
"","","","","",202,NMNH Botany Elevation Data (Summarized),,Acacia_muricata_(L.)_Willd.
199,species,"162,192",Acacia retusa (Jacq.) R.A. Howard,"",,,,
"","","","","",203,NMNH Botany Elevation Data (Summarized),,Acacia_retusa_(Jacq.)_R.A._Howard
200,species,"162,192",Acacia tortuosa (L.) Willd.,"",,,,
"","","","","",204,NMNH Botany Elevation Data (Summarized),,Acacia_tortuosa_(L.)_Willd.
201,genus,162,"","",,,,
"","","","","",205,,,""
202,species,"162,201",Acaena elongata L.,"",,,,
"","","","","",206,NMNH Botany Elevation Data (Summarized),,Acaena_elongata_L.
203,genus,162,"","",,,,
"","","","","",207,,,""
204,species,"162,203",Acalypha alopecuroides Jacq.,"",,,,
"","","","","",208,NMNH Botany Elevation Data (Summarized),,Acalypha_alopecuroides_Jacq.
205,subspecies,"162,203",Acalypha amentacea subsp. wilkesiana (Müll. Arg.) Fosberg,"",,,,
"","","","","",209,NMNH Botany Elevation Data (Summarized),,Acalypha_amentacea_subsp._wilkesiana_(Müll._Arg.)_Fosberg
206,species,"162,203",Acalypha angustifolia Sw.,"",,,,
"","","","","",210,NMNH Botany Elevation Data (Summarized),,Acalypha_angustifolia_Sw.
207,species,"162,203",Acalypha arvensis Poepp.,"",,,,
"","","","","",211,NMNH Botany Elevation Data (Summarized),,Acalypha_arvensis_Poepp.
208,species,"162,203",Acalypha chamaedrifolia (Lam.) Müll. Arg.,"",,,,
